"","name","genre","year","numOfSegments","numOfActs","numOfSpeakers","yearWritten","yearPremiered","yearPrinted","size","averageClustering","density","averagePathLength","averageDegree","diameter","maxDegree","nodes","numConnectedComponents","maxDegreeIds","wikipediaLinkCount"
"21","chekhov-noch-pered-sudom","",1886,10,0,4,1884,NA,1886,4,0.583333333333333,0.666666666666667,1.33333333333333,2,2,3,"110.60.28184488261197280620.750.522720536856933809310.61162892577235180.6666666666666666620.750.52272053685693380",1,"Zajtsev",0
"22","chekhov-predlozhenie","comedy",1889,7,0,3,1888,1889,1889,3,1,1,1,2,1,2,"6210.577350269189625707210.577350269189625707210.57735026918962570",1,"chubukov|lomov|natalja_stepanovna",9
"23","chekhov-svadba","",1890,9,1,13,1889,1900,1890,13,0.976689976689977,0.871794871794872,1.12820512820513,10.4615384615385,2,12,"20110.92307692307692310.2875324467586169011110.92307692307692310.2875324467586169026110.92307692307692310.28753244675861694031110.92307692307692310.287532446758616940291210.29193255309502480.0757575757575757620110.92307692307692310.2875324467586169020110.92307692307692310.2875324467586169025110.92307692307692310.28753244675861690331210.29193255309502480.0757575757575757617110.92307692307692310.28753244675861690220.54545454545454540.05293098805871819031110.92307692307692310.28753244675861694025110.92307692307692310.28753244675861690",1,"NastasjaTimofeevna|Aplombov",8
"24","chekhov-tatjana-repina","drama",1889,1,1,28,1889,NA,1889,28,1,1,1,27,1,27,"272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630272710.188982236504613630",1,"several characters",5
"25","chekhov-tragik-ponevole","comedy",1889,1,1,2,1889,NA,1889,2,0,1,1,1,1,1,"1110.707106781186547601110.70710678118654760",1,"Murashkin|Tolkachov",4
"26","chekhov-tri-sestry","drama",1901,86,4,14,1900,1901,1901,14,0.893284493284493,0.824175824175824,1.17582417582418,10.7142857142857,2,13,"37110.86666666666666670.268782113295266360.0173076923076923165120.92857142857142860.293902163948341070.01420431420431420282120.92857142857142860.293902163948341070.01420431420431420246110.86666666666666670.27898694382361050.004131054131054130530120.92857142857142860.289408149980623360.02443019943019942826100.81250.249453699893839750.0070818070818070811050.61904761904761910.126033057063384501251310.304323370105353930.0473239723239723253110.86666666666666670.2718310091733520.01078551078551078372110.86666666666666670.26878211329526640.0173076923076923184120.92857142857142860.293902163948341070.014204314204314202100120.92857142857142860.293902163948341070.01420431420431420219110.86666666666666670.266931959153571650.0199430199430199461770.68421052631578950.180384781315470120",1,"Irina",34
"27","chekhov-vishnevyi-sad","comedy",1904,74,4,14,1903,1904,1904,14,0.860188620902907,0.725274725274725,1.27472527472527,9.42857142857143,2,12,"35110.86666666666666670.29743190833004910.029202279202279239100.81250.274367273014415270.02172364672364672330.56521739130434780.0898705727119401050110.86666666666666670.305043914292247640.012260887260887263390.76470588235294110.25579212622153060.0076312576312576311790.76470588235294110.25756976323541230.00549450549450549376110.86666666666666670.295177559248245350.03881766381766381438110.86666666666666670.305043914292247640.012260887260887262070.68421052631578950.200054707003493650.00302706552706552717110.86666666666666670.29244050689026540.04235347985347985670120.92857142857142860.31309163703334490.059269434269434276440.59090909090909090.11504638337686394088120.92857142857142860.305479631071146340.0762108262108262174110.86666666666666670.305043914292247640.01226088726088726",1,"Lopahin|LjubovAndreevna",35
"28","dashkova-toisiokov","comedy",1786,55,5,11,NA,NA,1786,11,0.837878787878788,0.781818181818182,1.21818181818182,7.81818181818182,2,10,"1580.83333333333333340.29860421496641470.03280423280423282990.90909090909090910.34153996738824110.021164021164021163970.76923076923076930.278059269316654530.006349206349206349451010.359375859429154070.061904761904761913080.83333333333333340.309121536817807960.014285714285714285151010.359375859429154070.061904761904761911880.83333333333333340.294738575262253550.036507936507936512170.76923076923076930.2785372418339760.00687830687830687841070.76923076923076930.274449685509624730.0105820105820105811680.83333333333333340.31135261790933370.014285714285714285640.6250.162154153911946370",1,"masha|reshimova",0
"29","fonvizin-brigadir","comedy",1772,30,5,8,1769,1772,1786,8,0.964285714285714,0.964285714285714,1.03571428571429,6.75,2,7,"36710.363456348807835450.0079365079365079363460.8750.3220224332772969043710.363456348807835450.00793650793650793652710.363456348807835450.00793650793650793639710.363456348807835450.007936507936507936660.8750.3220224332772969045710.363456348807835450.00793650793650793657710.363456348807835450.007936507936507936",1,"several characters",0
"30","fonvizin-korion","comedy",1764,22,3,5,1764,1764,NA,5,0.9,0.9,1.1,3.6,2,4,"12410.47922952259822770.0555555555555555512410.47922952259822770.05555555555555555730.80.39434578355221717014410.47922952259822770.05555555555555555530.80.394345783552217170",1,"andrej|korion|menandr",0
